flight,step,gap_minutes,gc_gap_km,raw_adsb_dist_km,baseline_dist_km,kalman_dist_km,gru_dist_km,adsc_true_dist_km,baseline_gap_km,kalman_gap_km,gru_gap_km,baseline_dev_km,kalman_dev_km,gru_dev_km,raw_co2_kg,baseline_co2_kg,kalman_co2_kg,gru_co2_kg,adsc_co2_kg
20230818_76cce1_092944_103905,step1_raw_2023-08-10_to_2023-09-10,210.2,3448.6,3303.3,6752.0,6755.3,6986.9,6767.8,3415.9,3451.9,3408.4,0.8,59.4,246.1,62763.0,128287.0,128350.0,132751.0,128588.0
20230819_06a0e5_092117_102135,step1_raw_2023-08-10_to_2023-09-10,281.8,4601.3,2264.5,6865.8,6865.8,7254.1,6931.7,4568.8,4601.3,4610.9,1.4,0.0,327.5,43025.0,130450.0,130450.0,137828.0,131702.0
20230819_06a12f_093027_104717,step1_raw_2023-08-10_to_2023-09-10,218.2,3713.7,3472.5,7186.2,7191.8,7679.0,7265.5,3679.8,3719.4,3718.9,0.9,83.4,344.1,65977.0,136538.0,136645.0,145902.0,138045.0
20230820_7380c1_103749_114553,step1_raw_2023-08-10_to_2023-09-10,218.2,3548.6,2952.7,6501.2,6503.5,6817.4,6512.0,3516.2,3550.8,3533.0,0.8,50.3,288.8,56101.0,123524.0,123566.0,129531.0,123729.0
20230820_7380c3_104523_120835,step1_raw_2023-08-10_to_2023-09-10,220.2,3558.0,3278.7,6836.7,6839.0,7147.8,6847.8,3525.8,3560.3,3540.6,0.8,51.1,285.8,62296.0,129897.0,129941.0,135808.0,130109.0
20230821_a0a522_103706_120017,step1_raw_2023-08-10_to_2023-09-10,196.8,3166.8,3852.8,7019.6,7022.8,7282.7,7034.6,3134.8,3170.0,3134.0,0.6,50.3,248.5,73203.0,133373.0,133433.0,138371.0,133657.0
20230822_06a12b_082931_093851,step1_raw_2023-08-10_to_2023-09-10,195.2,3270.2,3431.4,6701.6,6704.0,6966.7,6703.7,3236.8,3272.6,3249.2,0.7,48.1,257.3,65197.0,127330.0,127376.0,132367.0,127370.0
20230822_7380c9_105732_120652,step1_raw_2023-08-10_to_2023-09-10,195.5,3257.4,3525.9,6783.3,6786.5,7073.6,6784.9,3224.4,3260.6,3237.2,0.7,47.1,266.0,66992.0,128883.0,128943.0,134399.0,128913.0
20230822_76cce1_090539_102530,step1_raw_2023-08-10_to_2023-09-10,205.5,3360.4,3673.7,7034.1,7041.1,7302.0,7036.2,3327.9,3367.5,3326.9,0.7,76.6,255.9,69800.0,133648.0,133782.0,138737.0,133688.0
20230824_0101db_055542_071042,step1_raw_2023-08-10_to_2023-09-10,257.5,3783.1,395.7,4178.8,4195.2,4549.6,4216.4,3753.9,3799.5,3722.4,1.0,144.4,309.0,7518.0,79398.0,79709.0,86443.0,80111.0
